x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,value,Timestamp
0,0,1,1,2,2,3,1,2,0,1,3,-1.0,864
0,3,2,1,1,2,3,3,1,0,0,3,-4.0245584642661925e-16,866
0,2,0,1,1,0,1,1,3,3,1,1,0.9999999999999997,868
0,3,3,2,1,2,1,3,0,2,3,1,1.6653345369377348e-16,870
2,1,3,0,0,2,2,0,0,1,3,0,0.707106781186547,872
0,0,1,1,3,1,2,1,3,2,2,2,-1.1102230246251565e-16,875
2,3,2,0,0,0,1,2,1,3,2,1,3.851859888774472e-33,877
1,2,0,0,1,1,0,3,2,2,2,1,-5.551115123125783e-17,879
3,3,2,1,1,2,2,2,0,2,3,2,-1.3877787807814457e-17,881
1,1,0,2,0,2,3,3,2,3,1,1,-5.551115123125783e-17,885
3,0,0,3,3,1,1,1,1,0,2,2,-0.9999999999999998,887
1,3,0,1,0,3,2,2,0,1,1,1,2.220446049250313e-16,890
2,2,2,1,2,2,2,2,1,0,1,0,0.0,892
0,3,2,0,3,2,1,2,0,3,0,3,-3.3306690738754696e-16,894
0,2,2,0,0,2,3,2,1,3,0,3,5.551115123125783e-17,896
0,3,3,0,0,2,1,0,0,3,0,3,-0.7071067811865469,898
3,2,3,0,0,3,0,2,3,3,0,2,0.7071067811865476,900
0,1,3,2,3,1,0,0,0,0,2,0,0.9999999999999996,903
2,3,1,0,1,1,0,1,0,3,3,0,8.326672684688674e-17,905
2,3,2,3,3,1,1,1,2,2,1,0,0.7071067811865469,907
2,0,1,3,3,3,3,2,2,2,1,0,-5.551115123125783e-17,909
3,1,3,2,0,3,3,3,2,0,2,3,0.49999999999999994,912
0,0,0,0,0,0,1,3,0,2,0,0,0.9999999999999996,914
0,1,1,2,2,3,0,2,1,2,0,3,1.1102230246251565e-16,916
3,3,1,2,3,1,2,3,2,1,0,2,1.1102230246251565e-16,919
1,3,2,1,0,2,1,2,2,1,3,0,-2.220446049250313e-16,921
1,3,0,0,0,1,2,2,1,0,3,1,0.0,923
1,0,3,0,1,1,2,1,1,3,2,3,0.7071067811865477,925
0,3,0,0,2,2,1,2,3,2,1,1,5.551115123125783e-17,927
0,3,3,1,3,1,2,2,3,3,3,3,-0.9999999999999998,929
3,2,1,1,0,1,3,2,0,1,3,1,-0.9999999999999996,931
0,0,0,0,0,2,2,1,2,0,1,0,-0.9999999999999996,933
1,3,2,0,1,3,2,0,3,1,0,0,5.551115123125783e-17,936
0,2,0,3,2,0,1,2,0,2,1,0,-1.0,938
3,0,1,3,1,3,0,0,2,3,1,0,1.942890293094024e-16,940
0,1,0,1,0,3,0,0,1,1,0,1,5.551115123125783e-17,942
3,0,2,3,1,3,1,3,0,2,2,1,0.0,944
2,1,0,2,3,3,0,1,3,0,0,1,1.1102230246251565e-16,946
0,1,3,1,0,3,1,2,3,0,2,0,-5.551115123125783e-17,948
2,1,0,3,1,2,1,1,0,2,3,2,-5.551115123125783e-17,951
3,1,2,2,0,1,1,2,3,2,2,1,1.1102230246251565e-16,953
0,0,2,0,2,3,3,0,0,0,2,3,1.1102230246251565e-16,955
0,2,3,1,3,3,1,1,2,1,2,1,0.0,957
1,1,3,2,2,2,2,0,2,3,3,1,-2.2204460492503128e-16,959
3,3,3,0,1,0,2,0,1,2,1,2,-0.7071067811865474,962
0,3,1,0,3,0,1,3,0,2,3,2,5.551115123125783e-17,964
3,2,1,2,2,2,0,0,3,2,2,3,-0.9999999999999998,966
0,2,2,3,2,0,2,2,1,1,0,3,2.7755575615628914e-16,968
0,3,1,2,3,0,1,0,1,1,1,2,-5.551115123125783e-17,970
3,2,3,3,0,2,3,2,0,1,1,0,-2.220446049250313e-16,972
1,0,1,2,1,0,3,1,3,2,3,2,2.7755575615628914e-17,975
1,1,1,2,3,3,2,2,2,1,1,0,5.551115123125783e-17,977
0,1,3,3,1,2,2,3,2,3,2,2,5.777789833161705e-33,979
2,1,1,1,2,1,0,0,2,1,2,1,0.7071067811865472,981
