x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,value,Timestamp
1,3,2,1,0,0,1,3,2,0,1,2,-0.5400662794919301,1873
3,2,3,2,0,2,1,0,2,2,0,1,-0.2725376295498442,1892
1,3,2,2,3,0,2,0,1,1,3,0,-0.2725376295498442,1919
1,2,2,3,2,1,0,2,0,1,1,0,-0.5490812095500964,1962
3,3,1,2,0,0,2,3,1,0,3,1,-0.5490812095500964,1991
0,3,0,0,2,2,2,1,1,2,2,0,-0.5400662794919301,2010
2,0,1,2,2,1,0,0,0,3,3,0,-1.0661086493179361,2030
3,0,2,0,0,1,0,0,3,1,3,2,-0.5400662794919301,2052
0,1,0,0,1,2,0,3,3,0,0,0,-0.5400662794919301,2071
1,1,0,1,2,3,3,1,3,1,2,1,-0.5400662794919301,2100
3,3,2,0,2,0,3,3,2,1,1,2,-0.5400662794919301,2125
0,1,1,3,3,2,3,3,2,2,2,1,-0.5400662794919301,2153
0,1,2,2,1,0,3,1,3,1,0,1,-0.7368568629774003,2197
2,3,2,2,0,2,3,2,0,0,1,1,-0.27253762954984406,2227
0,2,1,1,3,0,1,2,1,3,2,0,-0.3432756960064599,2260
3,3,1,2,2,3,3,1,1,2,0,1,-0.5400662794919301,2295
3,3,1,3,0,0,2,1,2,0,0,1,-0.5400662794919301,2319
3,3,1,1,2,2,1,0,1,1,0,2,-0.8075949294340162,2346
2,2,2,1,3,1,1,1,3,1,3,0,-0.5400662794919301,2374
0,2,0,2,3,0,3,2,0,2,1,2,-0.33426076594829357,2394
0,2,0,0,1,1,0,2,1,2,2,1,-0.8075949294340162,2419
0,1,0,3,0,0,1,0,3,1,0,3,-0.7368568629774003,2445
0,0,0,2,0,0,2,1,3,3,0,0,-0.7368568629774003,2463
3,3,2,1,2,3,2,1,0,3,1,2,-0.5310513494337638,2492
3,2,3,1,2,2,0,1,2,3,1,0,-0.5400662794919301,2516
0,3,2,0,2,2,1,3,3,3,1,0,-0.5400662794919301,2543
3,0,1,3,0,0,2,0,1,1,1,0,-0.3432756960064599,2564
3,1,0,3,3,1,3,3,1,3,2,3,-0.5400662794919301,2594
1,3,3,0,3,1,3,3,2,3,0,3,-0.5400662794919301,2623
3,3,3,3,0,1,3,2,1,2,3,3,-0.7368568629774003,2650
3,3,2,2,1,0,2,0,0,0,3,2,-0.27253762954984406,2672
